Category,Item,Serving Size,Calories,Calories from Fat,Total Fat,Total Fat (% Daily Value),Saturated Fat,Saturated Fat (% Daily Value),Trans Fat,Cholesterol,Cholesterol (% Daily Value),Sodium,Sodium (% Daily Value),Carbohydrates,Carbohydrates (% Daily Value),Dietary Fiber,Dietary Fiber (% Daily Value),Sugars,Protein,Vitamin A (% Daily Value),Vitamin C (% Daily Value),Calcium (% Daily Value),Iron (% Daily Value)
Breakfast,Egg White Delight,4.8 oz (135 g),250,70,8.0,12,3.0,15,0.0,25,8,770,32,30,10,4,17,3,18,6,0,25,8
Breakfast,Sausage McMuffin,3.9 oz (111 g),370,200,23.0,35,8.0,42,0.0,45,15,780,33,29,10,4,17,2,14,8,0,25,10
Breakfast,Sausage McMuffin with Egg Whites,5.7 oz (161 g),400,210,23.0,35,8.0,42,0.0,50,16,880,37,30,10,4,17,2,21,6,0,25,10
Breakfast,"Bacon, Egg & Cheese Biscuit with Egg Whites (Regular Biscuit)",5.4 oz (153 g),410,180,20.0,32,11.0,56,0.0,35,11,1300,54,36,12,2,7,3,20,2,8,15,10
Breakfast,"Bacon, Egg & Cheese Biscuit with Egg Whites (Large Biscuit)",5.9 oz (167 g),470,220,25.0,38,12.0,59,0.0,35,11,1420,59,42,14,3,12,4,20,6,8,15,15
Breakfast,Sausage Biscuit (Regular Biscuit),4.1 oz (117 g),430,240,27.0,42,12.0,62,0.0,30,10,1080,45,34,11,2,6,2,11,0,0,6,15
Breakfast,Sausage Biscuit (Large Biscuit),4.6 oz (131 g),480,280,31.0,48,13.0,65,0.0,30,10,1190,50,39,13,3,11,3,11,4,0,8,15
Breakfast,Sausage Biscuit with Egg Whites (Regular Biscuit),5.9 oz (167 g),460,250,27.0,42,12.0,62,0.0,35,11,1180,49,34,11,2,6,3,18,0,0,8,15
Breakfast,Sausage Biscuit with Egg Whites (Large Biscuit),6.4 oz (181 g),520,280,32.0,49,13.0,65,0.0,35,11,1290,54,40,13,3,11,3,18,4,0,8,15
Breakfast,Southern Style Chicken Biscuit (Regular Biscuit),5 oz (143 g),410,180,20.0,31,8.0,41,0.0,30,10,1180,49,41,14,2,6,3,17,0,2,6,15
Breakfast,Southern Style Chicken Biscuit (Large Biscuit),5.5 oz (157 g),470,220,24.0,37,9.0,45,0.0,30,10,1290,54,46,15,3,11,4,17,4,2,8,15
Breakfast,"Bacon, Egg & Cheese McGriddles with Egg Whites",6.3 oz (178 g),400,140,15.0,24,7.0,34,0.0,35,11,1250,52,47,16,2,9,16,20,2,10,15,10
Breakfast,Sausage McGriddles,5 oz (141 g),420,200,22.0,34,8.0,40,0.0,35,11,1030,43,44,15,2,8,15,11,0,0,8,10
Breakfast,"Sausage, Egg & Cheese McGriddles with Egg Whites",7.2 oz (205 g),500,230,26.0,40,10.0,52,0.0,50,17,1320,55,46,15,2,9,15,21,2,0,20,10
Breakfast,Big Breakfast with Egg Whites (Regular Biscuit),9.6 oz (272 g),640,330,37.0,57,14.0,69,0.0,35,12,1590,66,50,17,3,12,3,26,0,2,10,15
Breakfast,Big Breakfast with Egg Whites (Large Biscuit),10.1 oz (286 g),690,370,41.0,63,14.0,72,0.0,35,12,1700,71,55,18,4,17,4,26,4,2,10,15
Breakfast,Hotcakes,5.3 oz (151 g),350,80,9.0,13,2.0,9,0.0,20,7,590,24,60,20,3,10,14,8,0,0,15,15
Breakfast,Hotcakes and Sausage,6.8 oz (192 g),520,210,24.0,37,7.0,36,0.0,50,17,930,39,61,20,3,10,14,15,0,0,15,15
Breakfast,Sausage Burrito,3.9 oz (111 g),300,150,16.0,25,7.0,33,0.0,115,38,790,33,26,9,1,5,2,12,10,2,15,15
Breakfast,Hash Brown,2 oz (56 g),150,80,9.0,14,1.5,6,0.0,0,0,310,13,15,5,2,6,0,1,0,2,0,2
Breakfast,Cinnamon Melts,4 oz (114 g),460,170,19.0,30,9.0,43,0.0,15,5,370,15,66,22,3,11,32,6,4,0,6,15
Beef & Pork,Hamburger,3.5 oz (98 g),240,70,8.0,12,3.0,15,0.0,30,10,480,20,32,11,1,6,6,12,2,2,10,15
Beef & Pork,McRib,7.3 oz (208 g),500,240,26.0,40,10.0,48,0.0,70,23,980,41,44,15,3,10,11,22,2,2,15,20
Chicken & Fish,Premium Crispy Chicken Classic Sandwich,7.5 oz (213 g),510,200,22.0,33,3.5,18,0.0,45,16,990,41,55,18,3,13,10,24,4,6,15,20
Chicken & Fish,Premium Grilled Chicken Classic Sandwich,7 oz (200 g),350,80,9.0,13,2.0,9,0.0,65,22,820,34,42,14,3,13,8,28,4,8,15,20
Chicken & Fish,Southern Style Crispy Chicken Sandwich,5.6 oz (160 g),430,170,19.0,29,3.0,15,0.0,45,14,910,38,43,14,2,7,7,21,4,2,15,15
Chicken & Fish,McChicken,5.1 oz (143 g),360,140,16.0,25,3.0,15,0.0,35,11,800,33,40,13,2,7,5,14,0,2,10,15
Chicken & Fish,Bacon Cheddar McChicken,6 oz (171 g),480,220,24.0,38,7.0,35,0.0,65,21,1260,53,43,14,2,8,6,22,4,10,20,15
Chicken & Fish,Bacon Buffalo Ranch McChicken,5.7 oz (161 g),430,190,21.0,32,5.0,25,0.0,50,17,1260,53,41,14,2,7,6,20,2,10,15,15
Chicken & Fish,Buffalo Ranch McChicken,5.2 oz (148 g),360,150,16.0,25,3.0,16,0.0,35,11,990,41,40,13,2,7,5,14,2,2,15,15
Chicken & Fish,Chicken McNuggets (4 piece),2.3 oz (65 g),190,110,12.0,18,2.0,10,0.0,25,9,360,15,12,4,1,2,0,9,0,2,0,2
Chicken & Fish,Chicken McNuggets (6 piece),3.4 oz (97 g),280,160,18.0,27,3.0,15,0.0,40,13,540,22,18,6,1,4,0,13,0,2,2,4
Chicken & Fish,Chicken McNuggets (10 piece),5.7 oz (162 g),470,270,30.0,45,5.0,25,0.0,65,22,900,37,30,10,2,6,0,22,0,4,2,6
Chicken & Fish,Filet-O-Fish,5 oz (142 g),390,170,19.0,29,4.0,19,0.0,40,14,590,24,39,13,2,7,5,15,2,0,15,10
Snacks & Sides,Chipotle BBQ Snack Wrap (Crispy Chicken),4.6 oz (130 g),340,130,15.0,23,4.5,22,0.0,30,11,780,33,37,12,1,6,8,14,4,0,10,10
Snacks & Sides,Chipotle BBQ Snack Wrap (Grilled Chicken),4.3 oz (123 g),260,70,8.0,13,3.5,18,0.0,40,14,700,29,30,10,1,6,7,16,4,2,10,10
Snacks & Sides,Honey Mustard Snack Wrap (Crispy Chicken),4.3 oz (123 g),330,130,15.0,23,4.5,22,0.0,35,11,730,30,34,11,1,5,3,14,2,0,10,10
Snacks & Sides,Honey Mustard Snack Wrap (Grilled Chicken),4.1 oz (116 g),250,70,8.0,13,3.5,18,0.0,45,14,650,27,27,9,1,5,2,16,2,2,10,10
Snacks & Sides,Ranch Snack Wrap (Crispy Chicken),4.5 oz (128 g),360,180,20.0,30,5.0,27,0.0,40,13,810,34,32,11,1,5,3,15,2,0,10,10
Snacks & Sides,Ranch Snack Wrap (Grilled Chicken),4.3 oz (121 g),280,120,13.0,20,4.5,22,0.0,45,16,720,30,25,8,1,5,2,16,2,2,10,10
Desserts,Chocolate Chip Cookie,1 cookie (33 g),160,70,8.0,12,3.5,19,0.0,10,3,90,4,21,7,1,3,15,2,2,0,2,8
Desserts,Oatmeal Raisin Cookie,1 cookie (33 g),150,50,6.0,9,2.5,13,0.0,10,3,135,6,22,7,1,3,13,2,2,0,2,6
Desserts,Kids Ice Cream Cone,1 oz (29 g),45,10,1.5,2,1.0,4,0.0,5,2,20,1,7,2,0,0,6,1,2,0,4,0
Desserts,Hot Fudge Sundae,6.3 oz (179 g),330,80,9.0,14,7.0,34,0.0,25,8,170,7,53,18,1,3,48,8,8,0,25,8
Desserts,Hot Caramel Sundae,6.4 oz (182 g),340,70,8.0,12,5.0,24,0.0,30,10,150,6,60,20,0,0,43,7,10,0,25,0
Desserts,Strawberry Sundae,6.3 oz (178 g),280,60,6.0,10,4.0,20,0.0,25,8,85,4,49,16,0,0,45,6,8,4,20,0
Beverages,Coca-Cola Classic (Small),16 fl oz cup,140,0,0.0,0,0.0,0,0.0,0,0,0,0,39,13,0,0,39,0,0,0,0,0
Beverages,Coca-Cola Classic (Medium),21 fl oz cup,200,0,0.0,0,0.0,0,0.0,0,0,5,0,55,18,0,0,55,0,0,0,0,0
Beverages,Coca-Cola Classic (Large),30 fl oz cup,280,0,0.0,0,0.0,0,0.0,0,0,5,0,76,25,0,0,76,0,0,0,0,0
Beverages,Coca-Cola Classic (Child),12 fl oz cup,100,0,0.0,0,0.0,0,0.0,0,0,0,0,28,9,0,0,28,0,0,0,0,0
Beverages,Diet Coke (Small),16 fl oz cup,0,0,0.0,0,0.0,0,0.0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
Beverages,Diet Coke (Medium),21 fl oz cup,0,0,0.0,0,0.0,0,0.0,0,0,20,1,0,0,0,0,0,0,0,0,0,0
Beverages,Diet Coke (Large),30 fl oz cup,0,0,0.0,0,0.0,0,0.0,0,0,35,1,0,0,0,0,0,0,0,0,0,0
Beverages,Diet Coke (Child),12 fl oz cup,0,0,0.0,0,0.0,0,0.0,0,0,15,1,0,0,0,0,0,0,0,0,0,0
Beverages,Dr Pepper (Small),16 fl oz cup,140,0,0.0,0,0.0,0,0.0,0,0,45,2,37,12,0,0,35,0,0,0,0,0
Beverages,Dr Pepper (Medium),21 fl oz cup,190,0,0.0,0,0.0,0,0.0,0,0,65,3,53,18,0,0,51,0,0,0,0,0
Beverages,Dr Pepper (Large),30 fl oz cup,270,0,0.0,0,0.0,0,0.0,0,0,90,4,72,24,0,0,70,0,0,0,0,0
Beverages,Dr Pepper (Child),12 fl oz cup,100,0,0.0,0,0.0,0,0.0,0,0,30,1,27,9,0,0,26,0,0,0,0,0
Beverages,Diet Dr Pepper (Small),16 fl oz cup,0,0,0.0,0,0.0,0,0.0,0,0,70,3,0,0,0,0,0,2,0,0,0,0
Beverages,Diet Dr Pepper (Medium),21 fl oz cup,0,0,0.0,0,0.0,0,0.0,0,0,100,4,0,0,0,0,0,3,0,0,0,0
Beverages,Diet Dr Pepper (Large),30 fl oz cup,0,0,0.0,0,0.0,0,0.0,0,0,140,6,0,0,0,0,0,4,0,0,0,0
Beverages,Diet Dr Pepper (Child),12 fl oz cup,0,0,0.0,0,0.0,0,0.0,0,0,50,2,0,0,0,0,0,1,0,0,0,0
Beverages,Sprite (Small),16 fl oz cup,140,0,0.0,0,0.0,0,0.0,0,0,30,1,37,12,0,0,37,0,0,0,0,0
Beverages,Sprite (Medium),21 fl oz cup,200,0,0.0,0,0.0,0,0.0,0,0,45,2,54,18,0,0,54,0,0,0,0,0
Beverages,Sprite (Large),30 fl oz cup,280,0,0.0,0,0.0,0,0.0,0,0,60,3,74,25,0,0,74,0,0,0,0,0
Beverages,Sprite (Child),12 fl oz cup,100,0,0.0,0,0.0,0,0.0,0,0,25,1,27,9,0,0,27,0,0,0,0,0
Beverages,1% Low Fat Milk Jug,1 carton (236 ml),100,20,2.5,4,1.5,8,0.0,10,3,125,5,12,4,0,0,12,8,10,4,30,0
Beverages,Fat Free Chocolate Milk Jug,1 carton (236 ml),130,0,0.0,0,0.0,0,0.0,5,2,135,6,23,8,1,2,22,9,10,0,30,8
Beverages,Dasani Water Bottle,16.9 fl oz,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coffee & Tea,Iced Tea (Small),16 fl oz cup,0,0,0.0,0,0.0,0,0.0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
Coffee & Tea,Iced Tea (Medium),21 fl oz cup,0,0,0.0,0,0.0,0,0.0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
Coffee & Tea,Iced Tea (Large),30 fl oz cup,0,0,0.0,0,0.0,0,0.0,0,0,15,1,0,0,0,0,0,0,0,0,0,0
Coffee & Tea,Iced Tea (Child),12 fl oz cup,0,0,0.0,0,0.0,0,0.0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
Coffee & Tea,Sweet Tea (Small),16 fl oz cup,150,0,0.0,0,0.0,0,0.0,0,0,10,0,36,12,0,0,36,1,0,0,0,0
Coffee & Tea,Sweet Tea (Medium),21 fl oz cup,180,0,0.0,0,0.0,0,0.0,0,0,10,0,45,15,0,0,45,1,0,0,0,0
Coffee & Tea,Sweet Tea (Large),30 fl oz cup,220,0,0.0,0,0.0,0,0.0,0,0,10,1,54,18,0,0,54,1,0,0,0,0
Coffee & Tea,Sweet Tea (Child),12 fl oz cup,110,0,0.0,0,0.0,0,0.0,0,0,5,0,27,9,0,0,27,0,0,0,0,0
Coffee & Tea,Coffee (Small),12 fl oz cup,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coffee & Tea,Coffee (Medium),16 fl oz cup,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coffee & Tea,Coffee (Large),16 fl oz cup,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coffee & Tea,Latte (Small),12 fl oz cup,170,80,9.0,13,5.0,24,0.0,25,9,115,5,15,5,1,3,12,9,8,0,30,0
Coffee & Tea,Latte (Medium),16 fl oz cup,210,90,10.0,16,6.0,30,0.0,30,11,140,6,18,6,1,4,15,11,10,0,35,0
Coffee & Tea,Latte (Large),20 fl oz cup,280,120,14.0,21,8.0,39,0.0,40,14,180,8,24,8,1,6,20,15,15,0,50,2
Coffee & Tea,Caramel Latte (Small),12 fl oz cup,270,80,9.0,13,5.0,24,0.0,25,9,115,5,40,13,1,3,38,9,8,0,30,0
Coffee & Tea,Caramel Latte (Medium),16 fl oz cup,340,90,10.0,16,6.0,30,0.0,30,11,140,6,50,17,1,4,48,11,10,0,35,0
Coffee & Tea,Caramel Latte (Large),20 fl oz cup,430,120,14.0,21,8.0,39,0.0,40,14,180,8,62,21,1,6,59,15,15,0,50,2
Coffee & Tea,Hazelnut Latte (Small),12 fl oz cup,270,80,9.0,13,5.0,24,0.0,25,9,115,5,40,13,1,3,38,9,8,0,30,0
Coffee & Tea,Hazelnut Latte (Medium),16 fl oz cup,330,90,10.0,16,6.0,30,0.0,30,11,140,6,50,17,1,4,47,11,10,0,35,0
Coffee & Tea,Hazelnut Latte (Large),20 fl oz cup,430,120,14.0,21,8.0,39,0.0,40,14,180,8,62,21,1,6,58,15,15,0,50,2
Coffee & Tea,French Vanilla Latte (Small),12 fl oz cup,260,80,9.0,13,5.0,24,0.0,25,9,115,5,38,13,1,3,36,9,8,0,30,0
Coffee & Tea,French Vanilla Latte (Medium),16 fl oz cup,330,90,10.0,16,6.0,30,0.0,30,11,140,6,48,16,1,4,45,11,10,0,35,2
Coffee & Tea,French Vanilla Latte (Large),20 fl oz cup,420,120,14.0,21,8.0,39,0.0,40,14,190,8,60,20,1,6,56,15,15,0,50,2
Coffee & Tea,Latte with Sugar Free French Vanilla Syrup (Small),12 fl oz cup,210,80,9.0,13,5.0,24,0.0,25,9,150,6,24,8,1,4,12,9,8,0,30,0
Coffee & Tea,Latte with Sugar Free French Vanilla Syrup (Medium),16 fl oz cup,260,90,10.0,16,6.0,30,0.0,30,11,190,8,29,10,1,5,15,12,10,0,35,0
Coffee & Tea,Latte with Sugar Free French Vanilla Syrup (Large),20 fl oz cup,330,120,14.0,21,8.0,39,0.0,40,14,240,10,37,12,2,7,20,15,15,0,50,2
Coffee & Tea,Nonfat Latte (Small),12 fl oz cup,100,0,0.0,0,0.0,0,0.0,5,2,110,5,15,5,1,3,13,10,10,0,30,0
Coffee & Tea,Nonfat Latte (Medium),16 fl oz cup,130,0,0.0,0,0.0,0,0.0,5,2,135,6,19,6,1,4,16,12,15,0,40,0
Coffee & Tea,Nonfat Latte (Large),20 fl oz cup,170,0,0.5,1,0.0,0,0.0,10,3,180,7,25,8,1,6,21,16,15,0,50,2
Coffee & Tea,Nonfat Caramel Latte (Small),12 fl oz cup,200,0,0.0,0,0.0,0,0.0,5,2,110,5,41,14,1,3,39,10,10,0,30,0
Coffee & Tea,Nonfat Caramel Latte (Medium),16 fl oz cup,250,0,0.0,0,0.0,0,0.0,5,2,135,6,51,17,1,4,48,12,15,0,40,0
Coffee & Tea,Nonfat Caramel Latte (Large),20 fl oz cup,310,0,0.5,1,0.0,0,0.0,10,3,180,7,63,21,1,6,59,16,15,0,50,2
Coffee & Tea,Nonfat Hazelnut Latte (Small),12 fl oz cup,200,0,0.0,0,0.0,0,0.0,5,2,110,5,40,13,1,3,38,10,10,0,30,0
Coffee & Tea,Nonfat Hazelnut Latte (Medium),16 fl oz cup,250,0,0.0,0,0.0,0,0.0,5,2,135,6,51,17,1,4,48,12,15,0,40,0
Coffee & Tea,Nonfat Hazelnut Latte (Large),20 fl oz cup,310,0,0.5,1,0.0,0,0.0,10,3,180,7,63,21,1,6,59,16,15,0,50,2
Coffee & Tea,Nonfat French Vanilla Latte (Small),12 fl oz cup,190,0,0.0,0,0.0,0,0.0,5,2,115,5,39,13,1,3,37,10,10,0,30,0
Coffee & Tea,Nonfat French Vanilla Latte (Medium),16 fl oz cup,240,0,0.0,0,0.0,0,0.0,5,2,140,6,49,16,1,4,46,12,15,0,40,2
Coffee & Tea,Nonfat French Vanilla Latte (Large),20 fl oz cup,300,0,0.5,1,0.0,0,0.0,10,3,180,8,60,20,1,6,56,16,15,0,50,2
Coffee & Tea,Nonfat Latte with Sugar Free French Vanilla Syrup (Small),12 fl oz cup,140,0,0.0,0,0.0,0,0.0,5,2,150,6,24,8,1,4,13,10,10,0,30,0
Coffee & Tea,Nonfat Latte with Sugar Free French Vanilla Syrup (Medium),16 fl oz cup,170,0,0.0,0,0.0,0,0.0,5,2,180,8,30,10,1,5,16,12,15,0,40,0
Coffee & Tea,Nonfat Latte with Sugar Free French Vanilla Syrup (Large),20 fl oz cup,220,0,0.5,1,0.0,0,0.0,10,3,240,10,38,13,2,7,21,16,15,0,50,2
Coffee & Tea,Mocha (Small),12 fl oz cup,340,100,11.0,18,7.0,34,0.0,35,12,150,6,49,16,2,6,42,10,10,0,30,6
Coffee & Tea,Mocha (Medium),16 fl oz cup,410,120,14.0,21,8.0,40,0.0,40,14,190,8,60,20,2,8,53,13,10,0,40,6
Coffee & Tea,Mocha with Nonfat Milk (Small),12 fl oz cup,270,30,3.5,5,2.0,11,0.0,15,5,150,6,49,16,2,6,43,11,10,0,35,6
Coffee & Tea,Mocha with Nonfat Milk (Medium),16 fl oz cup,330,30,3.5,6,2.0,11,0.0,15,5,190,8,60,20,2,8,53,13,15,0,40,6
Coffee & Tea,Mocha with Nonfat Milk (Large),20 fl oz cup,390,35,4.0,6,2.5,12,0.0,20,6,240,10,73,24,2,10,64,17,20,0,50,8
Coffee & Tea,Caramel Mocha (Small),12 fl oz cup,320,100,11.0,17,7.0,33,0.0,35,12,170,7,45,15,1,3,40,10,10,0,30,2
Coffee & Tea,Nonfat Caramel Mocha (Small),12 fl oz cup,250,30,3.5,5,2.0,10,0.0,15,5,170,7,45,15,1,3,41,10,10,0,35,2
Coffee & Tea,Nonfat Caramel Mocha (Medium),16 fl oz cup,310,30,3.5,5,2.0,11,0.0,15,5,210,9,56,19,1,4,51,13,15,0,40,2
Coffee & Tea,Nonfat Caramel Mocha (Large),20 fl oz cup,370,35,3.5,6,2.5,11,0.0,20,6,270,11,67,22,1,5,61,17,20,0,50,4
Coffee & Tea,Hot Chocolate (Small),12 fl oz cup,360,120,13.0,21,8.0,39,0.0,40,14,180,8,50,17,1,3,45,11,10,0,40,6
Coffee & Tea,Hot Chocolate with Nonfat Milk (Small),12 fl oz cup,280,30,3.5,5,2.0,11,0.0,15,5,180,7,50,17,1,3,46,12,15,0,40,6
Coffee & Tea,Hot Chocolate with Nonfat Milk (Medium),16 fl oz cup,340,30,3.5,5,2.0,11,0.0,15,6,220,9,61,20,1,4,57,14,20,0,50,6
Coffee & Tea,Hot Chocolate with Nonfat Milk (Large),20 fl oz cup,400,35,3.5,6,2.5,12,0.0,20,7,280,12,74,25,1,5,69,19,25,0,60,8
Coffee & Tea,Regular Iced Coffee (Small),16 fl oz cup,140,40,4.5,7,3.0,15,0.0,15,6,35,1,23,8,0,0,22,1,4,0,4,0
Coffee & Tea,Regular Iced Coffee (Medium),22 fl oz cup,190,60,7.0,11,4.5,22,0.0,25,9,50,2,31,10,0,0,30,1,4,0,4,0
Coffee & Tea,Regular Iced Coffee (Large),32 fl oz cup,270,80,9.0,14,6.0,29,0.0,35,12,75,3,47,16,0,0,45,2,6,0,8,0
Coffee & Tea,Caramel Iced Coffee (Small),16 fl oz cup,130,40,4.5,7,3.0,15,0.0,15,6,35,2,22,7,0,0,21,1,4,0,4,0
Coffee & Tea,Caramel Iced Coffee (Medium),22 fl oz cup,180,60,7.0,11,4.5,22,0.0,25,9,50,2,29,10,0,0,28,1,4,0,4,0
Coffee & Tea,Caramel Iced Coffee (Large),32 fl oz cup,260,80,9.0,14,6.0,29,0.0,35,12,65,3,43,14,0,0,42,2,6,0,6,0
Coffee & Tea,Hazelnut Iced Coffee (Small),16 fl oz cup,130,40,4.5,7,3.0,15,0.0,15,6,35,1,21,7,0,0,20,1,4,0,4,0
Coffee & Tea,Hazelnut Iced Coffee (Medium),22 fl oz cup,180,60,7.0,11,4.5,22,0.0,25,9,50,2,29,10,0,0,28,1,4,0,4,0
Coffee & Tea,Hazelnut Iced Coffee (Large),32 fl oz cup,250,80,9.0,14,6.0,29,0.0,35,12,75,3,43,14,0,0,41,2,6,0,8,0
Coffee & Tea,French Vanilla Iced Coffee (Small),16 fl oz cup,120,40,4.5,7,3.0,15,0.0,15,6,40,2,20,7,0,0,19,1,4,0,4,0
Coffee & Tea,French Vanilla Iced Coffee (Medium),22 fl oz cup,170,60,7.0,11,4.5,22,0.0,25,9,55,2,27,9,0,0,26,1,4,0,4,0
Coffee & Tea,French Vanilla Iced Coffee (Large),32 fl oz cup,240,80,9.0,14,6.0,29,0.0,35,12,80,3,41,14,0,0,39,2,6,0,8,0
Coffee & Tea,Iced Coffee with Sugar Free French Vanilla Syrup (Small),16 fl oz cup,80,40,4.5,7,3.0,15,0.0,15,6,65,3,9,3,0,0,1,1,4,0,4,0
Coffee & Tea,Iced Coffee with Sugar Free French Vanilla Syrup (Medium),22 fl oz cup,120,60,7.0,11,4.5,22,0.0,25,9,90,4,12,4,0,0,2,1,4,0,4,0
Coffee & Tea,Iced Coffee with Sugar Free French Vanilla Syrup (Large),32 fl oz cup,160,80,9.0,14,6.0,29,0.0,35,12,135,6,18,6,0,0,2,2,6,0,8,0
Coffee & Tea,Iced Mocha (Small),12 fl oz cup,290,100,11.0,17,7.0,33,0.0,35,12,125,5,41,14,1,4,34,8,10,0,25,4
Coffee & Tea,Iced Mocha (Medium),16 fl oz cup,350,110,13.0,19,8.0,38,0.0,40,13,150,6,50,17,1,5,43,9,10,0,30,6
Coffee & Tea,Iced Mocha with Nonfat Milk (Small),12 fl oz cup,240,45,5.0,8,3.0,16,0.0,20,7,125,5,41,14,1,4,35,8,10,0,25,4
Coffee & Tea,Iced Mocha with Nonfat Milk (Medium),16 fl oz cup,290,45,5.0,8,3.5,17,0.0,20,7,150,6,50,17,1,5,43,10,15,0,30,6
Coffee & Tea,Iced Mocha with Nonfat Milk (Large),22 fl oz cup,390,50,6.0,9,3.5,18,0.0,25,8,220,9,71,24,2,8,62,14,20,0,45,8
Coffee & Tea,Iced Caramel Mocha (Small),12 fl oz cup,280,100,11.0,17,7.0,33,0.0,35,12,140,6,38,13,0,0,33,8,10,0,25,2
Coffee & Tea,Iced Caramel Mocha (Medium),16 fl oz cup,340,110,13.0,19,7.0,37,0.0,40,13,170,7,46,15,1,2,41,9,10,0,30,2
Coffee & Tea,Iced Nonfat Caramel Mocha (Small),12 fl oz cup,230,45,5.0,8,3.0,16,0.0,20,7,140,6,38,13,0,0,33,8,10,0,25,2
Coffee & Tea,Iced Nonfat Caramel Mocha (Medium),16 fl oz cup,270,45,5.0,8,3.0,16,0.0,20,7,170,7,47,16,1,2,41,10,15,0,30,2
Coffee & Tea,Iced Nonfat Caramel Mocha (Large),22 fl oz cup,370,50,6.0,8,3.5,17,0.0,25,8,250,10,65,22,1,3,59,14,20,0,45,4
Smoothies & Shakes,Blueberry Pomegranate Smoothie (Small),12 fl oz cup,220,5,0.5,1,0.0,0,0.0,5,1,40,2,50,17,3,12,44,2,0,2,6,2
Smoothies & Shakes,Blueberry Pomegranate Smoothie (Medium),16 fl oz cup,260,5,1.0,1,0.0,0,0.0,5,1,50,2,62,21,4,15,54,3,0,4,8,2
Smoothies & Shakes,Blueberry Pomegranate Smoothie (Large),22 fl oz cup,340,10,1.0,2,0.5,3,0.0,5,2,65,3,79,26,5,19,70,4,0,4,10,2
Smoothies & Shakes,McFlurry with M&Mâ€™s Candies (Snack),7.3 oz (207 g),430,140,15.0,24,10.0,48,0.0,35,11,120,5,64,21,1,4,59,9,10,0,30,4
Smoothies & Shakes,McFlurry with Oreo Cookies (Snack),6.7 oz (190 g),340,100,11.0,17,6.0,29,0.0,30,9,190,8,53,18,1,2,43,8,10,0,25,6
Smoothies & Shakes,McFlurry with Reese's Peanut Butter Cups (Snack),7.1 oz (202 g),410,150,16.0,25,8.0,38,0.0,30,10,200,8,57,19,1,5,51,10,10,0,30,4
